Sentence,Label
"If all people are not right, then Jimmy is used.",implication
"If someone who is not tense is also not used, then he is not intelligent.",implication
Someone who is not used is always both not tense and intelligent.,implication
"If there is someone who is either tense or dusty, then Jimmy is not used and Quillan is intelligent.",implication
"If there is at least one people who is both not intelligent and used, then Jimmy is not comprehensive.",implication
"If there is at least one people who is both right and used, then Graham is not comprehensive.",implication
"if there is at least one people who is not intelligent and dusty, then Graham is not comprehensive and Quinn is not tense.",implication
Jimmy being not used implies that Graham is not tense.,implication
"If there is someone who is not intelligent, then Vicki is not comprehensive and Quinn is not tense.",implication
Justin is not dusty.,negation
Graham is not used.,negation
Graham is not tense.,negation
Vicki is not comprehensive.,negation
Quillan is not used.,negation
Justin is not intelligent.,negation
Quillan is not intelligent.,negation
Jimmy is not comprehensive.,negation
Justin is not used.,negation
Quinn is not used.,negation
Quillan is not right.,negation
Vicki is not tense.,negation
Jimmy is not right.,negation
Melody is clear.,fact
Kendall is not brave.,fact
Conroy is not clear.,fact
Nathalie is discreet.,fact
Neil is not worried.,fact
Kendall is not tired.,fact
Melody is naughty.,fact
Neil is not brave.,fact
Beverly is not tired.,fact
Kendall is not discreet.,fact
Neil is not naughty.,fact
Beverly is clear.,fact
Melody being brave and Beverly being not tired imply that Beverly is not worried.,implication
"As long as someone is either not discreet or worried, he is naughty and not clear.",implication
"If Beverly is discreet, then Cedric is not worried.",implication
"If there is someone who is naughty, then Beverly is not worried.",implication
"If someone who is discreet is also not brave, then he is naughty.",implication
"As long as someone is not discreet, he is naughty and brave.",implication
"If someone is not discreet, then he is both clear and not brave.",implication
"If Cedric is not naughty or Nathalie is clear, then Conroy is brave.",implication
Beverly is not discreet.,negation
Melody is not clear.,negation
Beverly is not tired.,negation
Neil is not worried.,negation
Neil is not clear.,negation
Kendall is not brave.,negation
Phineas is cute.,fact
Pierce is chestnut.,fact
Lauren is cute.,fact
Alexia is upset.,fact
Alexia is strange.,fact
Pierce is not strange.,fact
Pierce is not cute.,fact
Pierce is not funny.,fact
Amery is chestnut.,fact
Lauren is funny.,fact
Arthur is not strange.,fact
Alexia is not large.,fact
"If there is at least one people who is not cute or upset, then Phineas is not strange.",implication
Phineas being not chestnut or Pierce being not strange implies that Amery is not funny.,implication
Someone who is eithor upset or not funny is always chestnut.,implication
Phineas being not chestnut and Pierce being upset imply that Alexia is not strange.,implication
It can be concluded that Alexia is strange once knowing that Douglas is not large.,implication
"If Lauren is not funny, then Pierce is not cute and Pierce is chestnut.",implication
Lauren being not cute and Arthur being not funny imply that Alexia is upset and Phineas is chestnut.,implication
"If there is someone who is funny, then Phineas is not upset and Douglas is not strange.",implication
"If there is at least one people who is either not strange or chestnut, then Alexia is upset and Arthur is not large.",implication
"If someone is not large and chestnut, then he is not cute and not strange.",implication
Arthur is not strange.,negation
Phineas is not cute.,negation
Phineas is not upset.,negation
Pierce is not funny.,negation
Pierce is not cute.,negation
Alexia is not chestnut.,negation
Alexia is not large.,negation
Arthur is not chestnut.,negation
Lauren is not large.,negation
Pierce is not chestnut.,negation
Mila is federal.,fact
Bond is neat.,fact
Michael is not federal.,fact
Cedric is not brown.,fact
Luna is federal.,fact
Barclay is not ugly.,fact
Luna is not ugly.,fact
Marshall is federal.,fact
Bond is gentle.,fact
Michael is not joyous.,fact
Luna is not brown.,fact
Mila is not ugly.,fact
Marshall being not gentle implies that Mila is ugly and Barclay is not federal.,implication
Barclay being ugly implies that Michael is gentle.,implication
Barclay being neat and Cedric being not brown imply that Marshall is ugly.,implication
Someone who is eithor not federal or not joyous is always not ugly.,implication
"If there is someone who is both not joyous and federal, then Bond is not ugly.",implication
"If Michael is not neat and Barclay is not federal, then Michael is not brown.",implication
Someone who is federal is always both gentle and not brown.,implication
Bond is not joyous.,negation
Barclay is not neat.,negation
Michael is not ugly.,negation
Marshall is not federal.,negation
Luna is not joyous.,negation
Marshall is not ugly.,negation
Michael is not gentle.,negation
Michael is not joyous.,negation
Marshall is not neat.,negation
Barclay is not brown.,negation
Cedric is not neat.,negation
Luna is not ugly.,negation
Nathalie is ugly.,fact
Brian is not popular.,fact
Gemma is round.,fact
Kendrick is not popular.,fact
Gemma is ugly.,fact
Gemma is excited.,fact
Casper is not excited.,fact
Hector is not ugly.,fact
Brian is not dangerous.,fact
Gemma is popular.,fact
Aldis is not popular.,fact
Hector is round.,fact
"If Kendrick is popular or Brian is excited, then Kendrick is dangerous.",implication
"If everyone is dangerous or not grotesque, then Nathalie is round.",implication
"If someone is both ugly and round, then he is dangerous.",implication
Someone who is not dangerous is always both round and grotesque.,implication
"If Hector is not popular, then Hector is not excited.",implication
"If Gemma is not dangerous, then Aldis is ugly and Brian is not excited.",implication
Nathalie being not grotesque and Kendrick being not excited imply that Gemma is popular.,implication
Someone who is ugly is always popular.,implication
"As long as someone is not ugly, he is dangerous and popular.",implication
"If there is at least one people who is both excited and not ugly, then Casper is not round.",implication
Gemma is not round.,negation
Aldis is not popular.,negation
Kendrick is not popular.,negation
Kendrick is not round.,negation
Brian is not ugly.,negation
Nathalie is not excited.,negation
Hector is not grotesque.,negation
Gemma is not grotesque.,negation
Johnny is not historical.,fact
Albert is not elderly.,fact
Todd is not unsightly.,fact
Johnny is not elderly.,fact
Johnny is not skinny.,fact
Todd is not cute.,fact
Jerry is not elderly.,fact
Burton is historical.,fact
Albert is not similar.,fact
Johnny is not cute.,fact
Jerry is not unsightly.,fact
Kirby is not unsightly.,fact
"If there is at least one people who is not similar or skinny, then Burton is not historical.",implication
"If there is at least one people who is not unsightly, then Arthur is cute and Jerry is not similar.",implication
"If all people are not skinny, then Jerry is not unsightly.",implication
All skinny people are unsightly.,implication
"If there is someone who is not unsightly, then Jerry is not cute and Jerry is skinny.",implication
"If Arthur is not cute, then Albert is not skinny and Johnny is not historical.",implication
Someone who is both historical and elderly is always not unsightly.,implication
"If Todd is similar and Johnny is not historical, then Kirby is unsightly and Burton is elderly.",implication
Burton being similar or Johnny being not skinny implies that Arthur is elderly.,implication
Todd is not unsightly.,negation
Arthur is not cute.,negation
Albert is not skinny.,negation
Jerry is not cute.,negation
Albert is not cute.,negation
Todd is not similar.,negation
Johnny is not similar.,negation
Albert is not elderly.,negation
Jerry is not skinny.,negation
Jerry is not elderly.,negation
Arthur is not skinny.,negation
Jerry is not unsightly.,negation
Burton is not historical.,negation
Hanna is impartial.,fact
Marion is not courageous.,fact
Brice is combative.,fact
Katrina is not cooperative.,fact
Katrina is not courageous.,fact
Luisa is cooperative.,fact
Luisa is not combative.,fact
Mark is not impartial.,fact
Marion is not impartial.,fact
Luisa is courageous.,fact
Mark is not combative.,fact
Mark is not courageous.,fact
"If there is someone who is not psychological, then Hanna is not impartial.",implication
"If there is someone who is psychological, then Luisa is not combative and Hanna is courageous.",implication
"If there is someone who is not federal, then Hanna is impartial.",implication
"If there is nobody who is not psychological, then Walter is not courageous.",implication
"If there is at least one people who is both combative and impartial, then Katrina is courageous.",implication
All not cooperative people are not federal.,implication
It can be concluded that Katrina is not combative once knowing that Walter is psychological.,implication
"If there is someone who is either courageous or psychological, then Katrina is not combative and Marion is not cooperative.",implication
Katrina is not federal.,negation
Katrina is not courageous.,negation
Katrina is not impartial.,negation
Brice is not psychological.,negation
Brice is not courageous.,negation
Katrina is not combative.,negation
Hanna is not impartial.,negation
Hanna is not federal.,negation
Tobias is not adventurous.,fact
Greyson is adventurous.,fact
Greyson is not psychological.,fact
Alston is adventurous.,fact
Alston is not historical.,fact
Brent is not dynamic.,fact
Greyson is historical.,fact
Brent is psychological.,fact
Tobias is psychological.,fact
Kimball is distracted.,fact
Brent is not distracted.,fact
Hunter is adventurous.,fact
Ramsey being not historical implies that Greyson is not distracted.,implication
Alston being not dynamic implies that Brent is not joyous.,implication
Someone who is historical is always psychological.,implication
It can be concluded that Alston is adventurous and Alston is joyous once knowing that Greyson is historical and Alston is dynamic.,implication
Someone who is eithor not psychological or not distracted is always historical.,implication
Someone who is eithor not psychological or not distracted is always not dynamic.,implication
"If there is at least one people who is joyous or not dynamic, then Tobias is psychological.",implication
It can be concluded that Kimball is historical and Tobias is dynamic once knowing that Alston is not adventurous.,implication
"If there is at least one people who is both adventurous and not historical, then Kimball is not psychological.",implication
Alston is not psychological.,negation
Greyson is not historical.,negation
Greyson is not dynamic.,negation
Tobias is not psychological.,negation
Greyson is not psychological.,negation
Alston is not adventurous.,negation
Tobias is not adventurous.,negation
Hunter is not dynamic.,negation
Brent is not distracted.,negation
Hunter is not distracted.,negation
Greyson is not joyous.,negation
Kerwin is massive.,fact
Jason is strict.,fact
Marlon is massive.,fact
Gale is not massive.,fact
Kerwin is not crazy.,fact
Brooke is tall.,fact
Marlon is warm-hearted.,fact
Kerwin is not strict.,fact
Kerwin is not tall.,fact
Jason is not massive.,fact
Brooke is not massive.,fact
Brooke is not warm-hearted.,fact
"As long as someone is not massive, he is small and warm-hearted.",implication
"If there is at least one people who is strict, then Shelley is small and Kerwin is not massive.",implication
Gale being tall implies that Marlon is small.,implication
"If someone is not strict or warm-hearted, then he is not massive.",implication
"If there is at least one people who is both not massive and strict, then Harley is crazy.",implication
"If there is someone who is both warm-hearted and massive, then Harley is not crazy.",implication
"if there is at least one people who is not tall and not small, then Marlon is strict and Kerwin is massive.",implication
Someone who is warm-hearted and small is always not crazy and not tall.,implication
All tall people are massive.,implication
"If there is at least one people who is not tall or warm-hearted, then Shelley is not small.",implication
Shelley being not tall implies that Marlon is not small and Shelley is not massive.,implication
Jason is not tall.,negation
Gale is not strict.,negation
Brooke is not small.,negation
Shelley is not small.,negation
Jason is not small.,negation
Kerwin is not strict.,negation
Brooke is not warm-hearted.,negation
Shelley is not tall.,negation
Marlon is not warm-hearted.,negation
Brooke is not strict.,negation
Camille is hungry.,fact
Vicki is powerful.,fact
Richard is not selfish.,fact
Richard is massive.,fact
Peter is not massive.,fact
Alexis is hungry.,fact
Mark is jealous.,fact
Mark is selfish.,fact
John is powerful.,fact
Camille is jealous.,fact
Richard is powerful.,fact
Peter is not embarrassed.,fact
Someone who is eithor powerful or hungry is always not massive.,implication
"If all people are not hungry or selfish, then Camille is not jealous.",implication
It can be concluded that John is not selfish once knowing that John is embarrassed.,implication
Someone who is massive is always both not hungry and powerful.,implication
Someone who is massive is always both jealous and not powerful.,implication
It can be concluded that Camille is embarrassed and Mark is not hungry once knowing that Camille is not selfish.,implication
"If someone is selfish, then he is both hungry and massive.",implication
"If there is at least one people who is massive or not selfish, then Camille is not embarrassed.",implication
"If there is at least one people who is not jealous or selfish, then Vicki is not massive.",implication
"If there is at least one people who is both not selfish and massive, then Alexis is not jealous.",implication
"If Camille is not selfish and Vicki is not embarrassed, then Peter is not massive.",implication
Alexis is not hungry.,negation
John is not massive.,negation
Richard is not selfish.,negation
Camille is not jealous.,negation
Richard is not powerful.,negation
Mark is not jealous.,negation
Mark is not hungry.,negation
Peter is not jealous.,negation
Richard is not massive.,negation
Mark is not powerful.,negation
Bruce is compassionate.,fact
Coleman is not compassionate.,fact
Leslie is not dynamic.,fact
Truman is brown.,fact
Bethany is compassionate.,fact
Vicki is beautiful.,fact
Lloyd is historical.,fact
Leslie is not beautiful.,fact
Truman is historical.,fact
Bruce is not dynamic.,fact
Lloyd is beautiful.,fact
Truman is dynamic.,fact
Someone who is not historical is always not dynamic.,implication
"As long as someone is compassionate, he is dynamic and old-fashioned.",implication
It can be concluded that Leslie is historical once knowing that Vicki is old-fashioned and Vicki is beautiful.,implication
Vicki being not historical or Truman being old-fashioned implies that Leslie is dynamic.,implication
"If someone is not brown, then he is historical.",implication
Coleman is not historical.,negation
Vicki is not historical.,negation
Bethany is not dynamic.,negation
Lloyd is not dynamic.,negation
Bethany is not beautiful.,negation
Truman is not dynamic.,negation
Truman is not brown.,negation
Leslie is not dynamic.,negation
Coleman is not dynamic.,negation
Truman is not historical.,negation
Ian is famous.,fact
James is famous.,fact
James is horrible.,fact
Herbert is additional.,fact
Blanche is itchy.,fact
Albern is itchy.,fact
John is confident.,fact
Ian is remarkable.,fact
John is not famous.,fact
Sean is famous.,fact
Herbert is remarkable.,fact
Sean is confident.,fact
"If Ian is not horrible and Blanche is additional, then James is not itchy.",implication
It can be concluded that Ian is horrible once knowing that James is famous.,implication
James being not horrible and James being not itchy imply that John is additional.,implication
"If there is at least one people who is not horrible or itchy, then John is famous.",implication
"As long as someone is not confident, he is not famous and itchy.",implication
It can be concluded that John is not confident once knowing that Ian is horrible.,implication
"If someone is not confident or he is not additional, then he is famous.",implication
Sean being itchy implies that Sean is not remarkable.,implication
It can be concluded that Herbert is not itchy and James is not remarkable once knowing that Herbert is additional.,implication
John is not famous.,negation
Sean is not confident.,negation
Herbert is not additional.,negation
Ian is not additional.,negation
James is not itchy.,negation
James is not confident.,negation
Ian is not famous.,negation
Albern is not famous.,negation
Ian is not horrible.,negation
Herbert is not horrible.,negation
John is not confident.,negation
Crispin is agreeable.,fact
Chrysta is not excited.,fact
Keegan is not disgusted.,fact
Crispin is not unsightly.,fact
Bruce is not unsightly.,fact
Gloria is united.,fact
Bruce is disgusted.,fact
Crispin is not excited.,fact
Keegan is not troubled.,fact
Sherard is disgusted.,fact
Kingston is not disgusted.,fact
Sherard is not united.,fact
"If there is someone who is both unsightly and disgusted, then Keegan is agreeable.",implication
Someone who is not united is always both not excited and disgusted.,implication
"If everyone is not agreeable or unsightly, then Bruce is not united.",implication
"If Sherard is unsightly, then Chrysta is excited and Bruce is agreeable.",implication
"If there is at least one people who is not disgusted or united, then Kingston is troubled.",implication
"As long as someone is disgusted, he is excited and unsightly.",implication
"If there is at least one people who is either not troubled or not agreeable, then Chrysta is not excited and Chrysta is disgusted.",implication
"If there is at least one people who is not excited, then Sherard is troubled.",implication
Bruce is not unsightly.,negation
Chrysta is not excited.,negation
Chrysta is not disgusted.,negation
Crispin is not excited.,negation
Sherard is not excited.,negation
Keegan is not troubled.,negation
Bruce is not excited.,negation
Sherard is not troubled.,negation
Keegan is not unsightly.,negation
Alice is grumpy.,fact
Jimmy is not zealous.,fact
Aldis is silly.,fact
Carlton is not adventurous.,fact
Jimmy is grumpy.,fact
Reginald is not silly.,fact
Aldis is right.,fact
Aldis is zealous.,fact
Alice is zealous.,fact
Braden is zealous.,fact
Reginald is not logical.,fact
Jimmy is right.,fact
"If there is someone who is either not zealous or not adventurous, then Aldis is not logical.",implication
"If Carlton is not right and Aldis is zealous, then Carlton is silly and Reginald is logical.",implication
It can be concluded that Braden is not adventurous once knowing that Alice is not right.,implication
"If someone is not grumpy or he is not zealous, then he is logical.",implication
Someone who is zealous is always adventurous.,implication
"If there is at least one people who is either not zealous or right, then Braden is not grumpy and Alice is not logical.",implication
It can be concluded that Alice is not adventurous once knowing that Aldis is not silly and Braden is logical.,implication
"If there is at least one people who is adventurous or right, then Alice is not zealous.",implication
Carlton is not grumpy.,negation
Reginald is not logical.,negation
Braden is not zealous.,negation
Conroy is not grumpy.,negation
Alice is not grumpy.,negation
Alice is not logical.,negation
Jimmy is not grumpy.,negation
Alice is not zealous.,negation
Aldis is not zealous.,negation
Jimmy is not silly.,negation
Phoebe is accurate.,fact
Basil is not pink.,fact
Miranda is pink.,fact
Matthew is not accurate.,fact
Miranda is selfish.,fact
Matthew is not angry.,fact
Matthew is not pink.,fact
Silvia is puny.,fact
Lauren is selfish.,fact
Silvia is not accurate.,fact
Silvia is pink.,fact
Basil is not accurate.,fact
"If someone is selfish, then he is both angry and pink.",implication
"If someone is not puny or selfish, then he is not accurate.",implication
"If there is someone who is both selfish and angry, then Phoebe is not puny.",implication
"If someone is accurate or selfish, then he is not puny.",implication
"If Silvia is not pink or Basil is not selfish, then Lauren is puny.",implication
"If there is at least one people who is either not lucky or selfish, then Silvia is not pink and Matthew is accurate.",implication
"If there is someone who is both accurate and not pink, then Gideon is not angry and Silvia is not lucky.",implication
Miranda being angry implies that Lauren is not lucky and Lauren is puny.,implication
Lauren is not angry.,negation
Phoebe is not accurate.,negation
Matthew is not puny.,negation
Miranda is not angry.,negation
Matthew is not pink.,negation
Silvia is not lucky.,negation
Gideon is not angry.,negation
Gideon is not lucky.,negation
Phoebe is not selfish.,negation
Silvia is not selfish.,negation
Basil is not angry.,negation
Janet is vivacious.,fact
Gilbert is not visible.,fact
Milton is vivacious.,fact
Gilbert is blue-eyed.,fact
Gilbert is vivacious.,fact
Deborah is not crazy.,fact
Milton is not massive.,fact
Deborah is not happy.,fact
Chandler is not crazy.,fact
Milton is visible.,fact
Janet is crazy.,fact
Lionel is vivacious.,fact
Someone who is crazy is always both not happy and not massive.,implication
"If there is at least one people who is happy or visible, then Janet is not massive.",implication
Someone who is eithor not visible or massive is always not happy.,implication
"if there is at least one people who is not happy and not blue-eyed, then Chandler is not visible and Chandler is not crazy.",implication
Someone who is not massive or crazy is always happy and not visible.,implication
"If there is at least one people who is not visible or massive, then Lionel is crazy.",implication
It can be concluded that Janet is happy and Deborah is crazy once knowing that Gilbert is blue-eyed.,implication
Chandler is not massive.,negation
Lionel is not blue-eyed.,negation
Lionel is not crazy.,negation
Lionel is not massive.,negation
Chandler is not crazy.,negation
Gilbert is not crazy.,negation
Gilbert is not happy.,negation
Milton is not crazy.,negation
Milton is not blue-eyed.,negation
Janet is not crazy.,negation
Gilbert is not vivacious.,negation
Deborah is not crazy.,negation
Milton is not massive.,negation
Tommy is not blue-eyed.,negation
Lane is not concerned.,fact
Baldwin is creepy.,fact
Sean is important.,fact
Lee is plain.,fact
Aubrey is not successful.,fact
Lane is bloody.,fact
Aubrey is plain.,fact
Ted is not bloody.,fact
Lane is creepy.,fact
Aubrey is not creepy.,fact
Sean is not successful.,fact
Ted is not concerned.,fact
"If there is at least one people who is both not successful and plain, then Baldwin is not concerned.",implication
"If there is someone who is not important, then Aubrey is not creepy.",implication
"If there is at least one people who is creepy, then Lane is successful.",implication
"If Lee is creepy and Lee is successful, then Lee is concerned.",implication
It can be concluded that Baldwin is concerned once knowing that Aubrey is important.,implication
"As long as someone is either concerned or important, he is not successful and plain.",implication
It can be concluded that Lane is not successful and Lee is bloody once knowing that Monique is not creepy.,implication
"If Lane is not plain or Ted is not important, then Lane is bloody.",implication
It can be concluded that Lane is important once knowing that Aubrey is plain.,implication
"If someone who is concerned is also important, then he is not plain.",implication
Ted is not concerned.,negation
Monique is not creepy.,negation
Lee is not concerned.,negation
Lane is not successful.,negation
Lee is not creepy.,negation
Lane is not bloody.,negation
Lee is not plain.,negation
Kyle is not zealous.,fact
Gale is skinny.,fact
Rosie is sensible.,fact
Stephen is brave.,fact
Rosie is brave.,fact
Lee is not zealous.,fact
Lee is beige.,fact
Kyle is not brave.,fact
Stephen is not zealous.,fact
Stephen is beige.,fact
Glenn is beige.,fact
Glenn is nice.,fact
It can be concluded that Glenn is not brave once knowing that Stephen is not nice.,implication
"If there is someone who is skinny, then Jessie is sensible and Jessie is zealous.",implication
"If there is at least one people who is either not sensible or brave, then Stephen is nice and Gale is not beige.",implication
"If someone is not zealous or sensible, then he is skinny.",implication
It can be concluded that Gale is brave and Lee is skinny once knowing that Gale is zealous.,implication
"As long as someone is nice, he is not beige and not zealous.",implication
"If there is someone who is not sensible, then Rosie is not zealous.",implication
Someone who is not brave or skinny is always beige and not nice.,implication
Jessie is not sensible.,negation
Lee is not brave.,negation
Jessie is not beige.,negation
Gale is not brave.,negation
Jessie is not zealous.,negation
Stephen is not skinny.,negation
Gale is not beige.,negation
Kyle is not nice.,negation
Jessie is not skinny.,negation
Kyle is not skinny.,negation
Rosie is not zealous.,negation
Rory is neat.,fact
Rory is unpleasant.,fact
Hunter is not unpleasant.,fact
Tommy is right.,fact
Paxton is unpleasant.,fact
Paxton is not neat.,fact
Tommy is lucky.,fact
Hunter is neat.,fact
Paxton is enchanting.,fact
Peter is not right.,fact
Tommy is not enchanting.,fact
Tommy is not federal.,fact
It can be concluded that Tommy is enchanting once knowing that Peter is not lucky or Hunter is federal.,implication
"If someone who is not neat is also unpleasant, then he is federal.",implication
"If someone is right or not enchanting, then he is not unpleasant.",implication
"As long as someone is not unpleasant, he is enchanting and lucky.",implication
"If Rory is not unpleasant or Paxton is lucky, then Rory is neat.",implication
"If Hunter is not neat, then Paxton is enchanting.",implication
Tommy is not right.,negation
Garrick is not unpleasant.,negation
Hunter is not neat.,negation
Tommy is not lucky.,negation
Hunter is not lucky.,negation
Rory is not neat.,negation
Tommy is not federal.,negation
Hunter is not enchanting.,negation
Tommy is not unpleasant.,negation
Peter is not unpleasant.,negation
Reginald is not tired.,fact
Chrysta is not tired.,fact
Reginald is petite.,fact
Angus is not difficult.,fact
Sterling is not difficult.,fact
Chrysta is courageous.,fact
Chrysta is not petite.,fact
Marlon is not courageous.,fact
Marlon is difficult.,fact
Marlon is tired.,fact
Sloane is not difficult.,fact
Sloane is petite.,fact
"If there is someone who is both petite and not tired, then Sloane is difficult.",implication
"If Reginald is difficult, then Sterling is not tired.",implication
"If there is someone who is not tired, then Angus is petite and Chrysta is courageous.",implication
Someone who is eithor not tired or unfair is always not difficult.,implication
Someone who is tired is always both not tired and petite.,implication
"If Chrysta is tired and Marlon is petite, then Sloane is not tired.",implication
"If someone is both tired and tired, then he is difficult.",implication
It can be concluded that Angus is courageous once knowing that Kurt is not unfair.,implication
Marlon is not courageous.,negation
Reginald is not difficult.,negation
Marlon is not petite.,negation
Sterling is not difficult.,negation
Chrysta is not unfair.,negation
Reginald is not tired.,negation
Sterling is not tired.,negation
Marlon is not unfair.,negation
Sloane is not unfair.,negation
Avery is not sore.,fact
Ted is tame.,fact
Heath is not quaint.,fact
Maddox is sore.,fact
Maddox is not foolish.,fact
Leith is not hungry.,fact
Jerry is not foolish.,fact
Ted is not embarrassed.,fact
Avery is not hungry.,fact
Leith is tame.,fact
Ted is not sore.,fact
Ted is not hungry.,fact
Ted being embarrassed implies that Heath is quaint and Jerry is sore.,implication
Maddox being sore implies that Leith is not hungry and Leith is not foolish.,implication
"If there is someone who is both not foolish and hungry, then Maddox is sore.",implication
Leith is not foolish.,negation
Ted is not tame.,negation
Leith is not tame.,negation
Maddox is not foolish.,negation
Jerry is not quaint.,negation
Maddox is not sore.,negation
Heath is not quaint.,negation
Chad is not existing.,fact
Hunter is funny.,fact
Debra is warm-hearted.,fact
Debra is not panicky.,fact
Calvin is warm-hearted.,fact
Calvin is not existing.,fact
Brice is not white.,fact
Brice is not funny.,fact
Quillan is not funny.,fact
Hunter is existing.,fact
Cuthbert is tired.,fact
Hunter is white.,fact
Someone who is warm-hearted is always not funny.,implication
"As long as someone is either not warm-hearted or white, he is funny and not existing.",implication
"If Quillan is existing or Debra is funny, then Quillan is warm-hearted.",implication
Hunter being warm-hearted implies that Brice is existing and Hunter is panicky.,implication
"If there is at least one people who is both not panicky and funny, then Chad is not white.",implication
"If there is at least one people who is panicky, then Cuthbert is not warm-hearted and Chad is not white.",implication
Someone who is eithor funny or not existing is always not panicky.,implication
"If there is at least one people who is panicky, then Calvin is not existing and Brice is warm-hearted.",implication
"If someone is white or not funny, then he is tired.",implication
Brice is not tired.,negation
Calvin is not tired.,negation
Calvin is not panicky.,negation
Hunter is not white.,negation
Debra is not panicky.,negation
Debra is not funny.,negation
Kianna is not silly.,fact
Walter is unhappy.,fact
Amery is disobedient.,fact
Jed is oak.,fact
Clifford is not silly.,fact
Walter is creepy.,fact
Walter is silly.,fact
Roland is not environmental.,fact
Kianna is not unhappy.,fact
Clifford is disobedient.,fact
Jed is not creepy.,fact
Amery is creepy.,fact
It can be concluded that Roland is not environmental and Clifford is disobedient once knowing that Amery is not unhappy.,implication
It can be concluded that Jed is not disobedient once knowing that Amery is creepy or Connell is not silly.,implication
"If there is someone who is either creepy or silly, then Clifford is not oak.",implication
"If someone who is not oak is also unhappy, then he is not disobedient.",implication
"If there is someone who is not environmental, then Jed is not silly.",implication
"If there is someone who is not oak, then Amery is unhappy.",implication
"If there is at least one people who is environmental or disobedient, then Kianna is unhappy.",implication
Walter is not silly.,negation
Jed is not creepy.,negation
Connell is not silly.,negation
Kianna is not oak.,negation
Roland is not disobedient.,negation
Jed is not environmental.,negation
Clifford is not creepy.,negation
Walter is not unhappy.,negation
Jed is not disobedient.,negation
Kianna is not creepy.,negation
Gilroy is not nervous.,fact
Lloyd is not existing.,fact
Henry is compassionate.,fact
Truman is not existing.,fact
Ryan is compassionate.,fact
Henry is not competitive.,fact
Truman is not tired.,fact
Henry is existing.,fact
Truman is not competitive.,fact
Austin is not tired.,fact
Truman is compassionate.,fact
Henry is not selfish.,fact
Austin being selfish and Lloyd being not tired imply that Lloyd is existing.,implication
Someone who is both existing and not nervous is always not selfish.,implication
"If there is at least one people who is both not competitive and not selfish, then Lloyd is existing.",implication
Someone who is tired is always both existing and not selfish.,implication
"If someone is not tired or compassionate, then he is not competitive.",implication
"If Lloyd is not tired and Ryan is existing, then Austin is nervous.",implication
Someone who is nervous is always not selfish.,implication
Ryan is not selfish.,negation
Henry is not existing.,negation
Lloyd is not competitive.,negation
Albern is not existing.,negation
Gilroy is not nervous.,negation
Lloyd is not existing.,negation
Henry is not competitive.,negation
Truman is not selfish.,negation
Gilroy is not existing.,negation
Truman is not tired.,negation
Ryan is not compassionate.,negation
Lloyd is not nervous.,negation
Truman is not existing.,negation
Kathie is not weak.,fact
Thomas is ambitious.,fact
Lionel is not purple.,fact
Lionel is good.,fact
Gloria is ambitious.,fact
Hall is purple.,fact
Gloria is purple.,fact
Bowen is purple.,fact
Ryan is not powerful.,fact
Bowen is ambitious.,fact
Lionel is not innocent.,fact
Thomas is not good.,fact
"As long as someone is not purple and not weak, he is not ambitious and not innocent.",implication
"If there is at least one people who is good or innocent, then Ryan is not powerful.",implication
"If there is someone who is not innocent, then Gloria is good and Thomas is powerful.",implication
"If Kathie is not ambitious and Ryan is innocent, then Gloria is not weak and Thomas is good.",implication
"If there is at least one people who is both ambitious and powerful, then Hall is weak.",implication
Someone who is eithor not ambitious or not good is always not weak.,implication
It can be concluded that Ryan is weak and Lionel is good once knowing that Ryan is not powerful.,implication
"If someone is not ambitious or he is not good, then he is purple.",implication
"If there is someone who is not ambitious, then Gloria is weak.",implication
Someone who is not weak is always not purple.,implication
"If there is at least one people who is not weak, then Bowen is powerful and Thomas is good.",implication
Thomas is not ambitious.,negation
Thomas is not good.,negation
Ryan is not powerful.,negation
Gloria is not purple.,negation
Gloria is not powerful.,negation
Thomas is not innocent.,negation
Gloria is not ambitious.,negation
Thomas is not purple.,negation
Gloria is not good.,negation
Bowen is not good.,negation
Ryan is not innocent.,negation
Ryan is not ambitious.,negation
Hall is not innocent.,negation
Benton is not shy.,fact
Kayla is not shy.,fact
Kayla is not bright.,fact
Benton is not sad.,fact
Olaf is shy.,fact
Olaf is massive.,fact
Shawn is not chestnut.,fact
Olaf is not chestnut.,fact
Kendall is not sad.,fact
Kendall is not bright.,fact
Avery is chestnut.,fact
Kayla is chestnut.,fact
It can be concluded that Kayla is dangerous once knowing that Avery is bright or Avery is massive.,implication
"If someone who is not shy is also not dangerous, then he is sad.",implication
"If there is at least one people who is shy, then Shawn is not chestnut.",implication
"If Gemma is not bright, then Kayla is chestnut.",implication
Someone who is bright is always not chestnut.,implication
It can be concluded that Gemma is not shy once knowing that Shawn is not bright and Shawn is dangerous.,implication
"If someone is not chestnut or he is sad, then he is not dangerous.",implication
"If someone is not shy or not massive, then he is not dangerous.",implication
Kendall is not bright.,negation
Gemma is not massive.,negation
Kayla is not dangerous.,negation
Shawn is not massive.,negation
Benton is not sad.,negation
Shawn is not chestnut.,negation
Olaf is not massive.,negation
Avery is not massive.,negation
Olaf is not sad.,negation
Clark is stormy.,fact
Garrick is agreeable.,fact
Conroy is not agreeable.,fact
Clark is disturbed.,fact
Addison is wrong.,fact
Clark is agreeable.,fact
Conroy is not wrong.,fact
Martin is disturbed.,fact
